"File","Line","Text"
"lib\firebase_options_platform.web.dart","35","""抓取 Web Token 失敗：$e"""
"lib\main.dart","31","'聊天訊息通知'"
"lib\main.dart","32","'用於接收角色的最新回覆與遊戲提醒。'"
"lib\main.dart","41","""👻 [背景小精靈] 成功攔截到背景通知: ${message.notification?.title}"""
"lib\main.dart","106","'⚠️ 通知服務初始化逾時'"
"lib\main.dart","108","'❌ 通知服務初始化失敗：$e'"
"lib\main.dart","113","'ℹ️ Web Debug 模式，略過 Firebase App Check'"
"lib\main.dart","131","'✅ Firebase App Check 初始化成功'"
"lib\main.dart","133","'⚠️ Firebase App Check 初始化逾時'"
"lib\main.dart","135","'❌ Firebase App Check 初始化失敗：$e'"
"lib\main.dart","188","""更新在線狀態失敗: $e"""
"lib\main.dart","218","'戀戀拾光'"
"lib\main.dart","301","""真的找不到這個人😭"""
"lib\main.dart","318","""讀取失敗：${snapshot.error}"""
"lib\main.dart","326","'繁體中文'"
"lib\main.dart","341","""🚨 收到推播的 Data 內容: $data"""
"lib\main.dart","349","""❌ 嚴重錯誤：找不到有效的 characterId"""
"lib\main.dart","364","""📫 玩家點擊了社交通知，準備導向私密信箱頁面"""
"lib\main.dart","375","""⚠️ 尚未登入，略過 FCM token 儲存"""
"lib\main.dart","394","""✅ FCM token 已儲存：${defaultTargetPlatform.name}"""
"lib\main.dart","399","""🌐 網頁版：暫不初始化推播（避免 Service Worker 錯誤）"""
"lib\main.dart","426","'⚠️ 取得 FCM token 逾時，本次略過'"
"lib\main.dart","435","'⚠️ 儲存 FCM token 逾時，本次略過'"
"lib\main.dart","437","'❌ 儲存 FCM token 失敗：$e'"
"lib\main.dart","454","""❌ 推播初始化發生錯誤: $e"""
"lib\data\store_data.dart","19","'初見禮包'"
"lib\data\store_data.dart","20","'曖昧禮包'"
"lib\data\store_data.dart","21","'心動禮包'"
"lib\data\store_data.dart","22","'熱戀禮包'"
"lib\data\store_data.dart","23","'知己禮包'"
"lib\data\store_data.dart","24","'守候禮包'"
"lib\data\store_data.dart","25","'信賴禮包'"
"lib\data\store_data.dart","26","'我愛你禮包'"
"lib\data\store_data.dart","27","'蜜月禮包'"
"lib\data\store_data.dart","28","'承諾禮包'"
"lib\data\store_data.dart","29","'相伴禮包'"
"lib\data\store_data.dart","30","'深愛禮包'"
"lib\data\store_data.dart","31","'長久禮包'"
"lib\data\store_data.dart","32","'唯一禮包'"
"lib\data\store_data.dart","33","'摯愛禮包'"
"lib\data\store_data.dart","34","'一生一世包'"
"lib\data\store_data.dart","35","'誓約禮包'"
"lib\data\store_data.dart","36","'永恆戀人包'"
"lib\data\store_data.dart","38","'戀戀拾光．星之契約'"
"lib\help\help_content_zh.dart","10","'遊玩指南'"
"lib\help\help_content_zh.dart","11","'歡迎來到《戀戀拾光》'"
"lib\help\help_content_zh.dart","13","'完善拾光檔案與「關於我們」的內容，可以讓角色更加了解你，聊天體驗也會更自然喔！'"
"lib\help\help_content_zh.dart","14","'搜尋問題或功能'"
"lib\help\help_content_zh.dart","15","'找不到相關問題'"
"lib\help\help_content_zh.dart","17","'可以換一個關鍵字搜尋，或透過「聯絡我們」詢問官方。'"
"lib\help\help_content_zh.dart","21","'開始遊玩'"
