"File","Line","Text"
"lib\main.dart","218","'戀戀拾光'"
"lib\main.dart","318","""讀取失敗：${snapshot.error}"""
"lib\page\app_texts.dart","116","""重新整理"""
"lib\page\character_management_page.dart","33","""請先登入系統"""
"lib\page\character_management_page.dart","727","'確定要解除封鎖「$charName」嗎？解除後，相關內容可能會再次顯示。'"
"lib\page\creator_follow_list_page.dart","34","'請先登入'"
"lib\page\creator_follow_list_page.dart","277","'已追蹤'"
"lib\page\creator_follow_list_page.dart","291","'取消追蹤'"
"lib\page\creator_follow_list_page.dart","304","'取消'"
"lib\page\interaction_history_page.dart","76","'讀取失敗: ${snapshot.error}'"
"lib\page\theme_selection_page.dart","143","'選擇主題色'"
"lib\page\theme_selection_page.dart","206","'更換氛圍'"
"lib\page\theme_selection_page.dart","257","'預覽效果'"
"lib\page\theme_selection_page.dart","273","'戀戀拾光'"
"lib\page\theme_selection_page.dart","355","'編輯個人檔案'"
"lib\page\theme_selection_page.dart","391","'角色'"
"lib\page\theme_selection_page.dart","392","'動態'"
"lib\page\theme_selection_page.dart","393","'喜歡'"
"lib\page\theme_selection_page.dart","403","'已簽到'"
"lib\page\theme_selection_page.dart","404","'今天已留下足跡'"
"lib\page\theme_selection_page.dart","417","'心動日記'"
"lib\page\theme_selection_page.dart","418","'記下心動瞬間'"
"lib\page\theme_selection_page.dart","616","'目前預覽'"
"lib\page\theme_selection_page.dart","640","'套用主題'"
"lib\page\theme_selection_page.dart","658","'恢復預設'"
"lib\page\theme_selection_page.dart","676","'挑選你的專屬色彩'"
"lib\page\theme_selection_page.dart","697","'確定'"
"lib\screens\character_npc_tab.dart","60","'＋ 新增配角'"
"lib\screens\character_npc_tab.dart","312","'更多'"
"lib\screens\character_profile_page.dart","2750","'取消收藏'"
"lib\screens\character_profile_page.dart","2750","'收藏角色'"
"lib\screens\chat_home_page.dart","471","'已置頂聊天室'"
"lib\screens\chat_home_page.dart","479","'已取消置頂'"
"lib\screens\chat_input_bar.dart","162","'展開功能'"
"lib\screens\chat_page.dart","2909","'不再顯示此提示'"
"lib\screens\chat_page.dart","7771","'取消'"
"lib\screens\chat_page.dart","9408","'不再顯示此提示'"
"lib\screens\chat_transcript_book_page.dart","762","'匯出 PDF'"
"lib\screens\chat_transcript_book_page.dart","1504","'上一頁'"
"lib\screens\chat_transcript_book_page.dart","1547","'下一頁'"
"lib\screens\creator_profile_page.dart","247","'更多'"
"lib\screens\creator_scene_page.dart","90","'取消'"
"lib\screens\creator_scene_page.dart","116","'刪除失敗，請稍後再試。'"
"lib\screens\creator_scene_page.dart","296","'目前無法讀取角色資料。'"
"lib\screens\creator_studio_page.dart","330","'公開角色'"
"lib\screens\creator_studio_page.dart","331","'已上架，可被其他玩家認識'"
